

//
// Armor techs
// 
ARMOR_0_NAME     | 钛装甲
ARMOR_0_ITEM     | 钛
ARMOR_0_BRIEF    | 生命值%1
ARMOR_0_DETAIL   | 入门装甲技术。对飞船装甲或地面部队没有增益。

ARMOR_1_NAME     | 合金装甲
ARMOR_1_ITEM     | 合金
ARMOR_1_BRIEF    | 生命值%1
ARMOR_1_DETAIL   | 飞船生命值增加50%。地面部队的装甲+5。

ARMOR_2_NAME     | 锆装甲
ARMOR_2_ITEM     | 锆
ARMOR_2_BRIEF    | 生命值%1
ARMOR_2_DETAIL   | 飞船生命值增加100%。地面战斗的装甲+10。

ARMOR_3_NAME     | 瑞钢装甲
ARMOR_3_ITEM     | 瑞钢
ARMOR_3_BRIEF    | 生命值%1
ARMOR_3_DETAIL   | 飞船生命值增加150%。地面战斗的装甲+15。

ARMOR_4_NAME     | 三钛装甲
ARMOR_4_ITEM     | 三钛
ARMOR_4_BRIEF    | 生命值%1
ARMOR_4_DETAIL   | 飞船生命值增加200%。地面战斗的装甲+20。

ARMOR_5_NAME     | 精金装甲
ARMOR_5_ITEM     | 精金
ARMOR_5_BRIEF    | 生命值%1
ARMOR_5_DETAIL   | 飞船生命值增加250%。地面战斗的装甲+25。

ARMOR_6_NAME     | 中子装甲
ARMOR_6_ITEM     | 中子
ARMOR_6_BRIEF    | 生命值%1
ARMOR_6_DETAIL   | 飞船生命值增加300%。地面战斗的装甲+30。


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | 大气改造
ATMOSPHERE_0_DETAIL    | 花费150BC，把恶劣环境改变为正常环境

//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | 自动修理系统
AUTOREPAIR_0_BRIEF     | 每回合修复飞船15%的生命值
AUTOREPAIR_0_DETAIL    | 未被击毁的飞船能在回合结束时回复15%的生命值

AUTOREPAIR_1_NAME      | 高级自动修理系统
AUTOREPAIR_1_BRIEF     | 每回合修复飞船30%的生命值
AUTOREPAIR_1_DETAIL    | 未被击毁的飞船能在回合结束时回复30%的生命值


//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | 进攻等级0
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | 战斗计算机1
COMPUTER_1_ITEM    | 型号1
COMPUTER_1_BRIEF   | 进攻等级1
COMPUTER_1_DETAIL  | 将武器精准度提高到等级1.

COMPUTER_2_NAME    | 战斗计算机2
COMPUTER_2_ITEM    | 型号2
COMPUTER_2_BRIEF   | 进攻等级2
COMPUTER_2_DETAIL  | 将武器精准度提高到等级2.

COMPUTER_3_NAME    | 战斗计算机3
COMPUTER_3_ITEM    | 型号3
COMPUTER_3_BRIEF   | 进攻等级3
COMPUTER_3_DETAIL  | 将武器精准度提高到等级3.

COMPUTER_4_NAME    | 战斗计算机4
COMPUTER_4_ITEM    | 型号4
COMPUTER_4_BRIEF   | 进攻等级4
COMPUTER_4_DETAIL  | 将武器精准度提高到等级4.

COMPUTER_5_NAME    | 战斗计算机5
COMPUTER_5_ITEM    | 型号5
COMPUTER_5_BRIEF   | 进攻等级5
COMPUTER_5_DETAIL  | 将武器精准度提高到等级5.

COMPUTER_6_NAME    | 战斗计算机6
COMPUTER_6_ITEM    | 型号6
COMPUTER_6_BRIEF   | 进攻等级6
COMPUTER_6_DETAIL  | 将武器精准度提高到等级6.

COMPUTER_7_NAME    | 战斗计算机7
COMPUTER_7_ITEM    | 型号7
COMPUTER_7_BRIEF   | 进攻等级7
COMPUTER_7_DETAIL  | 将武器精准度提高到等级7.

COMPUTER_8_NAME    | 战斗计算机8
COMPUTER_8_ITEM    | 型号8
COMPUTER_8_BRIEF   | 进攻等级8
COMPUTER_8_DETAIL  | 将武器精准度提高到等级8.

COMPUTER_9_NAME    | 战斗计算机9
COMPUTER_9_ITEM    | 型号9
COMPUTER_9_BRIEF   | 进攻等级9
COMPUTER_9_DETAIL  | 将武器精准度提高到等级9.

COMPUTER_10_NAME   | 战斗计算机10
COMPUTER_10_ITEM   | 型号10
COMPUTER_10_BRIEF  | 进攻等级10
COMPUTER_10_DETAIL | 将武器精准度提高到等级10.

COMPUTER_11_NAME   | 战斗计算机11
COMPUTER_11_ITEM   | 型号11
COMPUTER_11_BRIEF  | 进攻等级11
COMPUTER_11_DETAIL | 将武器精准度提高到等级11.


//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | 装甲
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | 普通装甲
